type,title,publisher,link,pubDate,sector,symbol
sector_news,Best Energy Stocks for 2026 and How to Invest - The Motley Fool,The Motley Fool,https://news.google.com/rss/articles/CBMidEFVX3lxTFB4dUpSeHdMcVY4cnJubW5KSl9yTjJtVGM1SG5XSVJ2UERLbU9oY2pNelpRQ2VRNF9wZFRRajRaWXhQS1VuQzA5RDZHMkgzZlhKbzdWWWVvR0tUem95bjR3SW9HMGRicW5tMDNDbThLQ1JtOWpD?oc=5,"Wed, 29 Apr 2026 06:37:00 GMT",Energy,Energy Sector
sector_news,How to Evaluate Healthcare Stocks: A Strategic Guide for Savvy Investors - Investing.com,Investing.com,https://news.google.com/rss/articles/CBMiggFBVV95cUxPRDFQcFh4eWlYM2FMM2JTYlFuRFRRNUE3QkE2VEJtRVBTdWtTbnhMMFFPQi1yLUhhMXk4X3pVQXAyOWRHdUR2elVSYmdXQmNmQ2hQaUpzWjFBMW5LSTluUmw1X1hoOWpGOFE5Qm9rWGc1bTkxNEtTS0VYR2d2VkFYN1B3?oc=5,"Tue, 28 Apr 2026 07:00:00 GMT",Healthcare,Healthcare Sector
sector_news,2026 banking and capital markets outlook - Deloitte,Deloitte,https://news.google.com/rss/articles/CBMizwFBVV95cUxNMXJ6LXdSdVFkOGFjTWtGRHFRZFdMZUh0Qnd5ZWhkaGRtc2RSbnRoYXJPdmRDNFc4WkhmVGtmeFJDbmQ4andYNDRoTS1UNWV2YUg5a2pCY0N2V2c5Vkd3aEtSR1BGcTAtS0lncGZnNFd0STFJa18tZWVVZ0JRZmhIOXNocGVSa240bVlsdWhPTEJXMkxJZW9iSkc4SmJVOVlnTGFhRU16dENLaFRzc21IaWNnX0VrNER1TTA5Rko2Q2Foek5MMExBdDRwanpOQlE?oc=5,"Thu, 30 Oct 2025 07:00:00 GMT",Financial Services,Financial Services Sector
sector_news,Investing in the basic materials sector - Chase Bank,Chase Bank,https://news.google.com/rss/articles/CBMisgFBVV95cUxNdTZjQmdaeVp2aThEeXNxR3lHNkpQb0NtT054dGlVN1pIYXl6dENSNEozU0Fhd0tlQlZGMlR3clRxYnVsM3NBWEIzelQzNWxqSHFlRUpSQTloRW1oa0tQbmQ5dG1yUXlTeVpncUNXZ2VtbmFXMFdReG5VdVpoMnZWSlp0X2JRTldvWHFqRXI2Y2dRSS1DTUxBaWM5WnBaSzNyTWFTNEY1OU9fTDBOOW9xQ2tB?oc=5,"Tue, 14 Oct 2025 07:00:00 GMT",Basic Materials,Basic Materials Sector
sector_news,Real estate sector: Investing in stocks to keep you grounded - Britannica,Britannica,https://news.google.com/rss/articles/CBMiYEFVX3lxTE0tMzI4NEpMdW9yNHh4eVAwSWZuV0p0ODk3ckpEV085Q0pBQV90eUJYSW1FdXBCT3A5VEtLdThPblFxN3J4cjF3NzNKTk9mSVJXdDdmRExpZ0tjbmRremxwVQ?oc=5,"Fri, 24 Apr 2026 07:00:00 GMT",Real Estate,Real Estate Sector
sector_news,The Defensive Playbook Isn’t Your Average Inflation Roadmap - J.P. Morgan,J.P. Morgan,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNdUFHbFIzVjJkT3NrbTBtYVVnN1oxV0k5amFjd1VYbDBUQ1FZNE5DMUNIRVBZZWowWW1RS0tHOVBkQndqaUxRc19aM0xwY3p4YU9iMy1zRnVlRjV2M3hKdjNrUkxhU29JOUxQekQ5NjBCZXEzVHFEbHI0ZmM2SDUwaW5wRW1VdC1YX2NUWm02aHU5a19VbEdfS2F0QnNzMHBuUjVoN0tiNjNpWWRwQmJWZndMVGxnaEJXa0NUNk16VEx6Z3NsdUZOa1pfVHZabnc1VEhj?oc=5,"Thu, 02 Apr 2026 07:00:00 GMT",Consumer Defensive,Consumer Defensive Sector
sector_news,Investing in tech stocks: Is now a good time? - U.S. Bank,U.S. Bank,https://news.google.com/rss/articles/CBMingFBVV95cUxPYnJIdTV6OGNIRTFqTjhFNlFQaFVDYkxTVDlqclJRazdlWlVhUVZ4RE01c2g1Z0JnVzV4bnJ0ZVE1MS1ob3dFRlhtYlFyMDhwN0ZlVXpEcE1kcHVRZWc2d09URUtHR3VVVld4NW5QellNUi0yY2RLNnNxbEJ1NjQyNU96b3ZNaXZGZWFPMzFnN3RpazViczBZcWZGSXFaZw?oc=5,"Wed, 29 Apr 2026 07:00:00 GMT",Technology,Technology Sector
sector_news,Communication services sector: Investing in companies that entertain and inform - Britannica,Britannica,https://news.google.com/rss/articles/CBMib0FVX3lxTE1haUhVQ0tzMkQ5ZnZXRUZwV2g2aXNPTmFMZm55aGtfeXN4ZXNUVDZ0Rjc1OWRXRkNud0xpUklFelNqRVNieGVKYnhDY2FIdDRPMU1aYmJTczJTYU55SU1zb2pFN3ItaDEwYkZ4aHVDWQ?oc=5,"Tue, 28 Apr 2026 20:31:00 GMT",Communication Services,Communication Services Sector
sector_news,How to Evaluate Consumer Discretionary Stocks - Investing.com,Investing.com,https://news.google.com/rss/articles/CBMikgFBVV95cUxQSHFOcXEtcVBWQk1jZXYyOVVqMXhGZ1JEeWw3UEZiSHJUelRpUkpLMTFGdWNmdHV4c2VyakNabVpRTGNDZ0NoU2FGdTNlSlpZR1Q0YmNkcGdEZFpWWlNhYWNRUEd3Z2tZbXpwTFFQRVNVeFdWLU8wRWpzWWEzdDJCbTBUS2FsS0duOWIySEVSbE1YZw?oc=5,"Tue, 28 Apr 2026 07:00:00 GMT",Consumer Cyclical,Consumer Cyclical Sector
sector_news,6 Stocks Driving the 2026 US Stock Market Rotation - Morningstar,Morningstar,https://news.google.com/rss/articles/CBMilAFBVV95cUxPWVNNU0s4MnkyTjdsTllBVGJURE53QUhPSm1aWkxJV24yMTlpVXZjYTNfV2lMdFpFN0VDMU0xSmJUSktYY0FlUEtNMHRxRFF6Ul81WDRwdkZXMW90aHVNdTg2N0dUTmsyeTV2OFlpeHNJYV9Jd1ZvQWFlemhnT0loak9CZkI1UmNEc2hvcDlvcTQ0S1BS?oc=5,"Mon, 23 Feb 2026 08:00:00 GMT",Industrials,Industrials Sector
